Cadena nº,Ángulo en x,Ángulo en y,Aceleración,Temperatura,Presion,Altura,RSSI,Latitud,Longitud
420.00,3.39,81.05,9.72,25.40,101034.00,0.50,54,36.6651,-6.1544
421.00,1.55,82.59,9.72,25.20,101045.00,-0.17,49,36.6651,-6.1544
422.00,3.08,81.89,9.69,25.20,101032.00,-0.25,49,36.6651,-6.1544
423.00,3.37,81.37,9.70,25.20,101052.00,-1.00,48,36.6651,-6.1544
424.00,39.01,17.78,9.30,25.20,101040.00,-0.08,50,36.6651,-6.1544
425.00,54.78,-3.80,10.75,25.10,101044.00,-1.00,60,36.6651,-6.1544
426.00,56.49,-3.47,10.61,25.10,101046.00,-0.17,46,36.6651,-6.1544
427.00,56.86,-3.24,10.63,25.10,101053.00,-1.00,46,36.6651,-6.1544
428.00,56.21,-3.56,10.57,25.10,101050.00,-1.50,45,36.6651,-6.1544
429.00,56.92,-3.35,10.59,25.00,101055.00,-0.33,48,36.6651,-6.1544
430.00,55.46,1.12,10.92,25.00,101057.00,-0.67,53,36.6651,-6.1544
431.00,59.21,-4.08,10.55,25.00,101053.00,-0.42,48,36.6651,-6.1544
432.00,60.16,-3.74,10.57,25.00,101042.00,-0.42,46,36.6651,-6.1544
433.00,59.50,-3.86,10.57,25.00,101057.00,0.08,50,36.6651,-6.1544
434.00,60.12,-3.94,10.60,25.10,101053.00,-1.59,47,36.6651,-6.1544
435.00,59.45,-3.64,10.64,25.30,101044.00,-0.50,48,36.6651,-6.1544
436.00,57.92,-3.92,10.55,25.40,101060.00,-0.92,46,36.6651,-6.1544
437.00,58.36,-3.67,10.64,25.40,101057.00,-0.83,48,36.6651,-6.1544
438.00,57.73,-3.77,10.59,25.40,101042.00,-0.42,47,36.6651,-6.1544
439.00,58.70,-3.80,10.52,25.40,101051.00,-0.17,46,36.6651,-6.1544
440.00,57.16,-3.88,10.66,25.20,101055.00,-1.25,45,36.6651,-6.1544
441.00,57.65,-2.37,11.73,25.10,101055.00,-0.67,45,36.6651,-6.1544
442.00,57.92,-3.87,10.62,24.90,101036.00,-0.17,46,36.6651,-6.1544
443.00,57.44,-4.35,10.62,24.90,101048.00,-0.25,51,36.6651,-6.1544
444.00,58.02,-4.13,10.61,24.70,101042.00,0.08,52,36.6651,-6.1544
445.00,57.94,-4.53,10.67,24.70,101052.00,-1.09,45,36.6651,-6.1544
446.00,58.35,-3.71,10.57,24.70,101052.00,-0.67,45,36.6651,-6.1544
447.00,58.05,-4.06,10.59,24.70,101055.00,-1.42,47,36.6651,-6.1544
448.00,57.15,-3.71,10.58,24.80,101038.00,-0.42,45,36.6651,-6.1544
450.00,58.17,-3.89,10.56,24.70,101040.00,-0.25,50,36.6651,-6.1544
451.00,56.32,-3.86,10.65,24.60,101043.00,-0.33,50,36.6651,-6.1544
